tid,name,usage_count,follower_count,canonical_term,match_type,confidence,final_disposition,canonical_tid
81144,South Floral Park Horse racing,1,0,,,,delete,
81145,Parking Tickets,3,9,,,,delete,
81146,Traffic Infractions,1,2,,,,delete,
81147,Appearance Ticket,1,6,,,,delete,
81148,Parking Regulation,2,9,,,,delete,
81149,Brewers,1,2,,,,delete,
81150,Beer,3,13,,,,delete,
81151,Wholesaler,1,2,,,,delete,
81152,Extortion,1,7,,,,delete,
81153,Coercion,2,8,,,,delete,
81154,Transportation Investment,1,5,Transportation,keyword_match,medium,merge_to_canonical,7656.0
81155,Otisville,2,1,,,,delete,
81156,Southern Tier economy and workforce,1,2,Economic Development,keyword_match,medium,merge_to_canonical,6996.0
8116,Downtown Revitalization,32,146,,,,delete,
81160,Unsolicited Foreign Seeds,1,2,,,,delete,
81162,Travel Advisory,1,2,,,,delete,
81163,NYS Border,1,3,,,,delete,
81164,Vehicle Registration,4,5,,,,delete,
81165,trauma informed care advisory council; trauma; mental health; COVID-19;,1,15,,,,delete,
81167,Antitrust,26,52,,,,delete,
81168,Corporate Power,26,67,,,,delete,
81169,Big Tech,31,81,Technology Policy,keyword_match,medium,merge_to_canonical,
81170,Economic inequality,7,22,,,,delete,
81171,Monopolies,28,57,,,,delete,
81172,Rebuilding,2,3,,,,delete,
81173,Tropical Storm Isaias,39,9,,,,delete,
81174,PSEG,36,30,,,,delete,
81175,Utility,19,27,Utilities,keyword_match,medium,merge_to_canonical,7686.0
81176,NYS Comptroller's Office,3,5,,,,delete,
81177,Summer 2020 Newsletter,1,4,,,,delete,
81188,Tucker's Law,4,1,,,,delete,
81191,Woodridge Joint Fire District,1,0,,,,delete,
81192,Department of Public Service,4,11,,,,delete,
81193,utility companies,10,39,Utilities,keyword_match,medium,merge_to_canonical,7686.0
81194,child care block grant,1,5,Child Care,keyword_match,medium,merge_to_canonical,9530.0
81195,school; reopening schools; COVID-19; coronavirus; education,0,9,Education,semicolon_first_term_keyword,medium,merge_to_canonical,7001.0
81197,Ageism,3,22,,,,delete,
81198,Ableism,5,20,,,,delete,
81199,reimburse,1,1,,,,delete,
81200,power,2,21,,,,delete,
8121,Yorktown,23,14,,,,delete,
81212,Graffiti Removal,3,4,,,,delete,
81214,seat belt,0,1,,,,delete,
81215,November 2020 Election,2,18,Elections,keyword_match,medium,merge_to_canonical,7011.0
81227,reimbursement,2,4,,,,delete,
81228,Judge,4,21,,,,delete,
81229,case,1,4,,,,delete,
81230,court,4,10,,,,delete,
81231,PSEG Long Island,16,24,,,,delete,
81232,Union Jobs,3,13,Labor,keyword_match,medium,merge_to_canonical,7286.0
81233,Power Outages Power Companies O&R,1,1,,,,delete,
81235,Schools Schools Reopening COVID-19,0,11,Education,keyword_match,medium,merge_to_canonical,7001.0
81236,Memorial Day Veterans Gold Star Families,1,3,Taxes,keyword_match,medium,merge_to_canonical,7626.0
81241,commercial tenants,2,3,Housing,keyword_match,medium,merge_to_canonical,7201.0
81242,New York State Women of Distinction,6,16,Women of Distinction,keyword_match,medium,merge_to_canonical,8989.0
81243,EMT,5,9,,,,delete,
81244,100 Years of Women's Suffrage in NYS; 19th Amendment,4,59,,,,delete,
8126,Cultural Diversity,21,147,Arts & Culture,keyword_match,medium,merge_to_canonical,80871.0
81309,bag ban,1,5,,,,delete,
8131,libraries,140,477,Libraries,seed_exact,high,already_canonical,8131.0
81310,paper bags,1,2,,,,delete,
81311,Refund,1,7,,,,delete,
81312,NYS Public Service Commission,11,6,Utilities,keyword_match,medium,merge_to_canonical,7686.0
81314,Veterans Event,3,5,Veterans,keyword_match,medium,merge_to_canonical,7691.0
81315,Veteran's Breakfast,3,5,,,,delete,
81317,Community Chat,2,8,,,,delete,
81318,61 Precinct,1,5,,,,delete,
81319,NY Hero Act,19,80,,,,delete,
81324,Optimum,2,1,,,,delete,
81325,Utility Reform,3,11,Utilities,keyword_match,medium,merge_to_canonical,7686.0
81331,19 on the 19th,2,12,,,,delete,
81334,Indoor Dining,3,9,,,,delete,
81335,Environmental Bond Act,3,32,Environment,keyword_match,medium,merge_to_canonical,7036.0
81336,DSA,1,1,,,,delete,
81337,878,1,2,,,,delete,
81338,bike lanes,14,34,,,,delete,
81339,recovery lease,2,3,,,,delete,
81348,Veterans; tourism; economic development; health,1,3,Veterans,semicolon_first_term_seed,high,merge_to_canonical,7691.0
81349,Budgets,1,6,,,,delete,
81350,Pomonok Houses,1,1,,,,delete,
81351,Clergy Council,1,1,,,,delete,
81354,law school,3,6,Education,keyword_match,medium,merge_to_canonical,7001.0
81355,State Liquor Authority; Coronavirus Pandemic; COVID-19; Small Business,3,6,,,,delete,
81356,Peaker Plant,4,1,,,,delete,
81357,NYPD 73rd Precinct,2,1,First Responders,keyword_match,medium,merge_to_canonical,8930.0
81358,Police Engagement,1,7,First Responders,keyword_match,medium,merge_to_canonical,8930.0
8136,subway,12,60,Transportation,keyword_match,medium,merge_to_canonical,7656.0
81360,Metropolitan Transportation Authority Board,4,11,Transportation,keyword_match,medium,merge_to_canonical,7656.0
81361,2020 Election,16,130,Elections,keyword_match,medium,merge_to_canonical,7011.0
81362,November 3,1,18,,,,delete,
81363,Good Samaritan Law,1,3,,,,delete,
81364,Youth Sports Permits,1,0,Children,keyword_match,medium,merge_to_canonical,6816.0
81368,power companies,0,2,,,,delete,
81370,COVID-10,0,6,COVID-19 Pandemic,keyword_match,medium,merge_to_canonical,78756.0
81371,hot car; child safety; HEAT Act,0,2,,,,delete,
81372,Hand Sanitizer Distribution,5,5,,,,delete,
81373,USPS,1,13,,,,delete,
81374,NYPD 69th Precinct,9,3,First Responders,keyword_match,medium,merge_to_canonical,8930.0
81375,Movie Night,3,3,,,,delete,
81380,Absentee ballot,1,28,Elections,keyword_match,medium,merge_to_canonical,7011.0
81381,Boards of Election,4,33,Elections,keyword_match,medium,merge_to_canonical,7011.0
81382,ballot drop box,3,14,Elections,keyword_match,medium,merge_to_canonical,7011.0
81383,Coronavirus Pandemic; COVID-19; Schools; Smart Schools Bond Act,1,9,COVID-19 Pandemic,semicolon_first_term_keyword,medium,merge_to_canonical,78756.0
81384,wind development,1,2,,,,delete,
81385,U.S. Bureau of Energy Management,1,10,Energy,keyword_match,medium,merge_to_canonical,7026.0
81387,Combating COVID-19 and Protecting New Yorkers; Protecting Nursing Home Residents,35,154,COVID-19 Pandemic,semicolon_first_term_keyword,medium,merge_to_canonical,78756.0
81388,creating community,2,5,,,,delete,
81389,diversity & inclusion,39,139,,,,delete,
81391,#MoreSpaceQBB,5,22,,,,delete,
81392,Queensboro Bridge,5,2,,,,delete,
81393,2009 Women of Distinction,1,11,Women of Distinction,keyword_match,medium,merge_to_canonical,8989.0
81394,2010 Women of Distinction,1,10,Women of Distinction,keyword_match,medium,merge_to_canonical,8989.0
81396,Back to School Giveaway,17,12,Education,keyword_match,medium,merge_to_canonical,7001.0
81398,Schools Reopening COVID-19 Remote Learning,4,19,Education,keyword_match,medium,merge_to_canonical,7001.0
81399,Developmental Disabilities Intellectual Disabilities Disability Rights COVID-19 Response,6,65,Developmental Disabilities,keyword_match,medium,merge_to_canonical,6956.0
81401,Rear Seat Belt Seat Belts Vehicle Safety,1,1,,,,delete,
81402,The Safe Center,1,4,,,,delete,
81403,s8700,1,0,,,,delete,
81404,how potential homebuyers of color suffer illegal and unequal treatment by real estate agents,3,3,,,,delete,
81405,Kavanagh,3,0,,,,delete,
81406,Thomas,3,0,,,,delete,
81407,Skoufis,3,0,,,,delete,
81408,general election,2,17,Elections,keyword_match,medium,merge_to_canonical,7011.0
81412,Nassau County Board of Elections,1,6,Elections,keyword_match,medium,merge_to_canonical,7011.0
81413,New York State Opioid Response Grant,1,4,Opioid & Substance Use,keyword_match,medium,merge_to_canonical,
81414,Woodmere,3,1,,,,delete,
81415,Tempo Group,1,0,,,,delete,
81416,Crime and Corrections,16,170,Criminal Justice Reform,keyword_match,medium,merge_to_canonical,8546.0
