bill_title,global_issues
2025-S4034,"Data Privacy; Consumer Protection"
2025-S4046,Energy
2025-S3606A,Taxes
2025-A4086,"Finance; Children"
2025-A4101,"Small Business; COVID-19 Pandemic"
2025-A4098,Housing
2025-A4110,"Veterans; Taxes"
2025-A4123,"Immigration; Children"
2025-A4193,"Civil Service & Pensions; Education"
2025-A4223,"Elections; Voting Rights"
2025-A4241,"Taxes; Housing"
2025-A4232,"Utilities; Consumer Protection"
2025-A4271,"Local Government; Infrastructure; Budget"
2025-S4107,Education
2025-S4136,"Elections; Voting Rights"
2025-S4141,Children
2025-S4148,Crime
2025-S4150,"Opioid & Substance Use"
2025-S4206,Education
2025-S4197,"Ethics; Civil Rights"
2025-S4216,"First Responders; Civil Service & Pensions; Taxes"
2025-S4237,"Data Privacy; Consumer Protection"
2025-S4242,"Health Care; Insurance; Nutrition"
2025-S4255,Education
2025-S4269,"Disability Rights"
2025-S4291,"Mental Health"
2025-S4313,"Tenant Rights"
2025-S4329,"Economic Development"
2025-A4307,Elections
2025-A4292,"Taxes; First Responders"
2025-A4293,"Agriculture; Climate Change"
2025-A4313,"Housing; Social Services"
2025-A4302,"Veterans; State Parks & Recreation"
2025-A4300,"Civil Service & Pensions"
2025-S4344,"Developmental Disabilities"
2025-S4350,"Local Government"
2025-A4348,"Education; Criminal Justice Reform"
2025-S4354,"Criminal Justice Reform"
2025-S4355,Finance
2025-A4393,Judiciary
2025-A4407,Immigration
2025-A4426,"Criminal Justice Reform"
2025-A4443,"Crime; Criminal Justice Reform"
2025-A4458,Agriculture
2025-S4362,"Emergency Management"
2025-A4475,Energy
2025-A4478,"Libraries; Children"
2025-A4489,"State Parks & Recreation; Disability Rights"
2025-A4494,"Developmental Disabilities"
2025-A4514,"Clean Water; Environment"
2025-S4374,Education
2025-A4554,"Local Government; Housing"
2025-A4543,"Gaming; Budget"
2025-S4387,Labor
2025-A4567,"Seniors; Taxes"
2025-A4586,"Housing; Tenant Rights"
2025-A4620,"Agriculture; Taxes"
2025-A4629,"Labor; Jobs & Employment"
2025-A4675,"First Responders"
2025-S4391,"Consumer Protection"
2025-S4414,"Housing; Taxes"
2025-S4427,"Taxes; Data Privacy; Insurance"
2025-S4441,"Veterans; Transportation"
2025-S4490,"Civil Service & Pensions"
2025-S4497,"Reproductive Health"
2025-S4513,Environment
2025-A4737,"Economic Development"
2025-A4765,Veterans
2025-S4518,Labor
2025-A4818,Finance
2025-A4835,"Developmental Disabilities; Health Care; Insurance"
2025-A4838,"Developmental Disabilities"
2025-A4839,"Developmental Disabilities; Emergency Management"
2025-A4859,"Libraries; Education"
2025-S4570,"Finance; Consumer Protection"
2025-A911A,"Disability Rights"
2025-S4578,"Elections; Voting Rights"
2025-A4877,"Housing; Tenant Rights"
2025-S4588,Elections
2025-S4597,Veterans
2025-S4605,"Finance; Housing"
2025-S4624,"Crime; Women's Health"
2025-A4889,Finance
2025-S4638,"Civil Service & Pensions"
2025-A4918,"Finance; Consumer Protection"
2025-S4639,"Opioid & Substance Use"
2025-A4934,"Civil Service & Pensions"
2025-A4943,"Civil Service & Pensions"
2025-A4967,"Small Business; Taxes"
2025-A4980,"Education; Public Safety"
2025-A4984,"Seniors; Taxes"
2025-S4654,"Arts & Culture; Historical Preservation"
2025-A5006,Seniors
2025-A5019,"Higher Education"
2025-S4661,Taxes
2025-S4659,"Housing; Tenant Rights"
2025-S4695,"Social Services; Economic Development"
2025-S4696,"Taxes; Jobs & Employment"
2025-A5023,"Campaign Finance"
2025-A5043,"Elections; Voting Rights"
2025-A5052,Education
2025-A5057,Transportation
2025-A5063,"Higher Education"
2025-A5065,Telecommunications
2025-S4702,Housing
2025-S4708,"State Parks & Recreation; First Responders"
2025-S4714,"Local Government"
2025-S4717,"Economic Development"
2025-S4730,Ethics
2025-A5080,Veterans
2025-A5093,"Elections; Education"
2025-A5100,"First Responders; Public Safety"
2025-A5129,"Cannabis Policy"
2025-A5132,"Crime; First Responders"
2025-A5138,Elections
2025-A5189,Taxes
2025-A5204,"Voting Rights; Elections"
2025-A5197,"LGBTQ+ Rights; Mental Health"
2025-A5217,Transportation
2025-A5233,"Small Business; COVID-19 Pandemic"
2025-A5228,"Crime; Criminal Justice Reform; Public Safety"
2025-A5239,"Technology Policy"
2025-A5248,Environment
2025-A5253,"Veterans; First Responders"
2025-A5265,"Criminal Justice Reform"
2025-A5270,Gaming
2025-A5286,"Housing; Affordability"
2025-S4778,Taxes
2025-S4797,"Economic Development; Taxes"
2025-S4835,"Developmental Disabilities; Housing"
2025-S4866,"Developmental Disabilities"
2025-S4873,"Developmental Disabilities"
2025-S4870,"Developmental Disabilities; Education"
2025-A5357,"Opioid & Substance Use"
2025-A5344,"Housing; Seniors; Disability Rights"
2025-A5374,"Opioid & Substance Use; Health Care"
2025-A5365,Taxes
2025-A5409,"LGBTQ+ Rights; Homelessness"
2025-A5412,"Women's Health; Health Equity"
2025-S4896,"Economic Development"
2025-A5416,"Libraries; Education"
2025-A5440,Transportation
2025-S4907,"Developmental Disabilities"
2025-A5478,"LGBTQ+ Rights; Criminal Justice Reform"
2025-A5482,Transportation
2025-A5502,"Opioid & Substance Use"
2025-A5532,"Children; Education"
2025-A5560,"Children; Developmental Disabilities; Civil Rights"
2025-A5536,"Children; Jobs & Employment; Budget"
2025-S4928,"Local Government"
2025-S4934,Education
2025-S4943,"Utilities; Energy; Affordability"
2025-S4950,"Opioid & Substance Use; Health Care"
2025-S4956,"Opioid & Substance Use; Criminal Justice Reform"
2025-S591A,"Nutrition; Agriculture"
2025-S4977,"Consumer Protection"
2025-S4995,"Clean Water"
2025-A5574,"Local Government"
2025-A5598,"Housing; Seniors; Taxes"
2025-A5601,"Affordability; Utilities; Seniors"
2025-A5640,"Domestic Violence; Homelessness"
2025-A5625,Judiciary
2025-A4877A,"Housing; Tenant Rights"
2025-A5643,"Education; Budget"
2025-S5009,"Criminal Justice Reform"
2025-S5014,"Animal Welfare"
2025-S5021,"Voting Rights; Elections"
2025-S5031,Gaming
2025-S5036,"Health Care; Emergency Management"
2025-S5040,"Criminal Justice Reform"
2025-S5042,Crime
2025-S5049,Insurance
2025-S5085,"Criminal Justice Reform"
2025-S5105,"Opioid & Substance Use"
2025-S5124,"Veterans; LGBTQ+ Rights"
2025-S5130,Insurance
2025-S5141,"Developmental Disabilities; Jobs & Employment"
2025-A5650,"Small Business"
2025-A5661,"Taxes; Affordability"
2025-A5680,Taxes
2025-S5171,"Economic Development"
2025-S5202,Environment
2025-S5217,"MTA; Veterans; Transportation"
2025-S5230,"Clean Water; Infrastructure"
2025-S5234,Ethics
2025-S5252,"Mental Health; Criminal Justice Reform"
2025-S5263,"Opioid & Substance Use; Insurance"
2025-S5267,"Insurance; Civil Rights"
2025-A5699,"Drunk Driving; Crime"
2025-A5716,"State Parks & Recreation"
2025-A5738,Crime
2025-S5283,"Criminal Justice Reform"
2025-A5776,"Taxes; Veterans"
2025-A5808,MTA
2025-A5803,"Taxes; Seniors"
2025-A5827,"Data Privacy"
2025-S5303,"Health Care; Opioid & Substance Use"
2025-S5335,"Housing; Affordability"
2025-S5371,Elections
2025-S5410,"Animal Welfare"
2025-S5417,Judiciary
2025-S5419,"Consumer Protection; Technology Policy"
2025-S5422,"Taxes; Renewable Energy"
2025-S5445,"Tenant Rights"
2025-S5457,"Drunk Driving"
2025-S5465,"Taxes; Affordability"
2025-S5480,"Taxes; Housing; Affordability"
2025-S5488,"Animal Welfare"
2025-S5497,"Opioid & Substance Use; Housing"
2025-S5500,"Consumer Protection"
2025-S5508,"Economic Development; Small Business"
2025-A5880,"Renewable Energy; Libraries"
2025-S5518,Budget
2025-S5526,Labor
2025-S3887A,"Affordability; MTA; Transportation"
2025-S5537,Gaming
2025-S5543,"Economic Development; Local Government"
2025-S5555,Crime
2025-S1438A,"Reproductive Health"
2025-S5588,"Veterans; Taxes"
2025-S5590,Ethics
2025-S5593,Utilities
2025-S5599,"Consumer Protection"
2025-A5943,"Veterans; State Parks & Recreation"
2025-A5936,Gaming
2025-A5959,"Renewable Energy; Taxes; Housing"
2025-A5995,Libraries
2025-A6015,"Renewable Energy; Taxes"
2025-A6023,Crime
2025-S3629A,"Animal Welfare"
2025-A639A,"Higher Education"
2025-A6058,"Veterans; Taxes"
2025-A6078,"Child Care"
2025-S5639,"Voting Rights"
2025-A6094,Veterans
2025-A6116,Crime
2025-A6117,Gaming
2025-A6141,"State Parks & Recreation"
2025-A6173,"Higher Education"
2025-S5650,Children
2025-A6236,"Tenant Rights"
2025-A6247,"Opioid & Substance Use"
2025-S5733,Veterans
2025-S5734,"Reproductive Health; Women's Health; Insurance"
2025-S5766,"Seniors; Affordability"
2025-S5781,"Renewable Energy; Energy"
2025-S5804,"Criminal Justice Reform"
2025-S5806,"Technology Policy; Civil Rights"
2025-S5815,"Criminal Justice Reform"
2025-S5852,"Health Care"
2025-S5864,"Affordability; Housing; Taxes"
2025-S5868,"Civil Service & Pensions; Insurance"
2025-S5870,"Taxes; Telecommunications"
2025-S5882,"Developmental Disabilities"
2025-S5906,Taxes
2025-A6295,"Arts & Culture; State Parks & Recreation"
2025-A6296,"Arts & Culture; State Parks & Recreation"
2025-A6293,"Crime; Technology Policy"
2025-S5925,"LGBTQ+ Rights; Homelessness; Social Services"
2025-S5931,"Environment; Climate Change"
2025-S5952,"Gun Control"
2025-A6328,"Local Government"
2025-S5978,"Mental Health"
2025-S5981,"Reproductive Health; Health Equity"
2025-A6378,Medicaid
2025-A6394,Transportation
2025-A6409,Finance
2025-A6371,"Utilities; Consumer Protection"
2025-A6438,"Voting Rights"
2025-A6439,"Opioid & Substance Use"
2025-S5989,"Libraries; Children"
2025-S6032,"Nutrition; Children; Education"
2025-S6036,Education
2025-S6039,"Child Care; Children; Economic Development"
2025-S6042,Seniors
2025-S6082,"Opioid & Substance Use; Health Care"
2025-S6084,Insurance
2025-S6107,"Health Care"
2025-S6115,"Developmental Disabilities"
2025-A6454,"Elections; Voting Rights"
2025-A6513,"Opioid & Substance Use; Criminal Justice Reform"
2025-S6145,"Immigration; Consumer Protection"
2025-S6149,"LGBTQ+ Rights; Mental Health"
2025-S6187,"Economic Development; Local Government"
2025-A6554,"Opioid & Substance Use"
2025-A6573,"Local Government"
2025-A6564,"Transportation; Public Safety"
2025-A6602,"Animal Welfare; Crime"
2025-A6610,"State Parks & Recreation"
2025-S6236,Education
2025-A6662,Finance
2025-S672A,"Clean Water; Environment"
2025-S6279,"Veterans; Higher Education"
2025-S6281,Veterans
2025-A6703,"Campaign Finance"
2025-A6705,Energy
2025-S6290,"Opioid & Substance Use"
2025-S6309,"Insurance; Civil Rights"
2025-S6317,"Minority & Women-Owned Business"
